ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh
91901,1,2024,A,Y,0,0,0
91901,1,2024,C,Y,0,0,0
91901,1,2024,I,Y,0,0,0
91901,1,2024,R,Y,2527,1455794,576
91902,1,2024,A,Y,0,0,0
91902,1,2024,C,Y,0,0,0
91902,1,2024,I,Y,0,0,0
91902,1,2024,R,N,1103,453375,411
91905,1,2024,A,Y,0,0,0
91905,1,2024,C,Y,0,0,0
91905,1,2024,I,Y,0,0,0
91905,1,2024,R,Y,0,0,0
91906,1,2024,A,Y,0,0,0
91906,1,2024,C,Y,0,0,0
91906,1,2024,I,Y,0,0,0
91906,1,2024,R,Y,569,270185,475
91910,1,2024,A,Y,0,0,0
91910,1,2024,C,Y,441,5987274,13577
91910,1,2024,I,Y,0,0,0
91910,1,2024,R,Y,5512,1565058,284
91911,1,2024,A,Y,0,0,0
91911,1,2024,C,Y,571,5448452,9542
91911,1,2024,I,Y,0,0,0
91911,1,2024,R,Y,4705,1453999,309
91912,1,2024,A,Y,0,0,0
91912,1,2024,C,Y,0,0,0
91912,1,2024,I,Y,0,0,0
91912,1,2024,R,Y,0,0,0
91913,1,2024,A,Y,0,0,0
91913,1,2024,C,Y,0,0,0
91913,1,2024,I,Y,0,0,0
91913,1,2024,R,N,4884,1542686,316
91914,1,2024,A,Y,0,0,0
91914,1,2024,C,Y,0,0,0
91914,1,2024,I,Y,0,0,0
91914,1,2024,R,N,657,211239,322
91915,1,2024,A,Y,0,0,0
91915,1,2024,C,Y,113,1527777,13520
91915,1,2024,I,Y,0,0,0
91915,1,2024,R,Y,2905,974614,335
91916,1,2024,A,Y,0,0,0
91916,1,2024,C,Y,0,0,0
91916,1,2024,I,Y,0,0,0
91916,1,2024,R,Y,0,0,0
91917,1,2024,A,Y,0,0,0
91917,1,2024,C,Y,0,0,0
91917,1,2024,I,Y,0,0,0
91917,1,2024,R,Y,0,0,0
91931,1,2024,A,Y,0,0,0
91931,1,2024,C,Y,0,0,0
91931,1,2024,I,Y,0,0,0
91931,1,2024,R,Y,0,0,0
91932,1,2024,A,Y,0,0,0
91932,1,2024,C,Y,0,0,0
91932,1,2024,I,Y,0,0,0
91932,1,2024,R,N,3085,795770,258
91934,1,2024,A,Y,0,0,0
91934,1,2024,C,Y,0,0,0
91934,1,2024,I,Y,0,0,0
91934,1,2024,R,Y,0,0,0
91935,1,2024,A,Y,0,0,0
91935,1,2024,C,Y,0,0,0
91935,1,2024,I,Y,0,0,0
91935,1,2024,R,N,641,375521,586
91941,1,2024,A,Y,0,0,0
91941,1,2024,C,Y,0,0,0
91941,1,2024,I,Y,0,0,0
91941,1,2024,R,N,2889,988927,342
91942,1,2024,A,Y,0,0,0
91942,1,2024,C,N,460,4807664,10451
91942,1,2024,I,Y,0,0,0
91942,1,2024,R,N,5320,1593882,300
91945,1,2024,A,Y,0,0,0
91945,1,2024,C,N,588,2764587,4702
91945,1,2024,I,Y,0,0,0
91945,1,2024,R,N,9071,3247934,358
91948,1,2024,A,Y,0,0,0
91948,1,2024,C,Y,0,0,0
91948,1,2024,I,Y,0,0,0
91948,1,2024,R,Y,0,0,0
91950,1,2024,A,Y,0,0,0
91950,1,2024,C,Y,434,5344192,12314
91950,1,2024,I,Y,0,0,0
91950,1,2024,R,Y,2365,862735,365
91962,1,2024,A,Y,0,0,0
91962,1,2024,C,Y,0,0,0
91962,1,2024,I,Y,0,0,0
91962,1,2024,R,Y,0,0,0
91963,1,2024,A,Y,0,0,0
91963,1,2024,C,Y,0,0,0
91963,1,2024,I,Y,0,0,0
91963,1,2024,R,Y,0,0,0
91977,1,2024,A,Y,0,0,0
91977,1,2024,C,Y,0,0,0
91977,1,2024,I,Y,0,0,0
91977,1,2024,R,N,3551,1034303,291
91978,1,2024,A,Y,0,0,0
91978,1,2024,C,Y,0,0,0
91978,1,2024,I,Y,0,0,0
91978,1,2024,R,N,638,218745,343
91980,1,2024,A,Y,0,0,0
91980,1,2024,C,Y,0,0,0
91980,1,2024,I,Y,0,0,0
91980,1,2024,R,Y,0,0,0
92003,1,2024,A,Y,0,0,0
92003,1,2024,C,Y,0,0,0
92003,1,2024,I,Y,0,0,0
92003,1,2024,R,N,447,225032,503
92004,1,2024,A,Y,0,0,0
92004,1,2024,C,Y,0,0,0
92004,1,2024,I,Y,0,0,0
92004,1,2024,R,Y,430,138231,321
92007,1,2024,A,Y,0,0,0
92007,1,2024,C,Y,0,0,0
92007,1,2024,I,Y,0,0,0
92007,1,2024,R,N,1049,338151,322
92008,1,2024,A,Y,0,0,0
92008,1,2024,C,Y,0,0,0
92008,1,2024,I,Y,0,0,0
92008,1,2024,R,N,4530,1623127,358
92009,1,2024,A,Y,0,0,0
92009,1,2024,C,N,181,1357452,7500
92009,1,2024,I,Y,0,0,0
92009,1,2024,R,N,4054,1481712,365
92010,1,2024,A,Y,0,0,0
92010,1,2024,C,N,215,851712,3961
92010,1,2024,I,Y,0,0,0
92010,1,2024,R,N,2270,902857,398
92011,1,2024,A,Y,0,0,0
92011,1,2024,C,N,232,1779730,7671
92011,1,2024,I,Y,0,0,0
92011,1,2024,R,N,2735,920333,337
92014,1,2024,A,Y,0,0,0
92014,1,2024,C,Y,0,0,0
92014,1,2024,I,Y,0,0,0
92014,1,2024,R,N,1769,793781,449
92019,1,2024,A,Y,0,0,0
92019,1,2024,C,Y,0,0,0
92019,1,2024,I,Y,0,0,0
92019,1,2024,R,N,7530,2905496,386
92020,1,2024,A,Y,0,0,0
92020,1,2024,C,N,2059,13902178,6752
92020,1,2024,I,Y,0,0,0
92020,1,2024,R,N,19688,8281191,421
92021,1,2024,A,Y,0,0,0
92021,1,2024,C,Y,0,0,0
92021,1,2024,I,Y,0,0,0
92021,1,2024,R,N,12475,4606087,369
