ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh
91901,4,2023,A,Y,0,0,0
91901,4,2023,C,Y,0,0,0
91901,4,2023,I,Y,0,0,0
91901,4,2023,R,Y,7968,622789,78
91902,4,2023,A,Y,0,0,0
91902,4,2023,C,Y,0,0,0
91902,4,2023,I,Y,0,0,0
91902,4,2023,R,N,4350,-25897,-6
91905,4,2023,A,Y,0,0,0
91905,4,2023,C,Y,0,0,0
91905,4,2023,I,Y,0,0,0
91905,4,2023,R,Y,269,39251,146
91906,4,2023,A,Y,0,0,0
91906,4,2023,C,Y,431,709579,1646
91906,4,2023,I,Y,0,0,0
91906,4,2023,R,Y,1982,217819,110
91910,4,2023,A,Y,0,0,0
91910,4,2023,C,Y,405,4950156,12223
91910,4,2023,I,Y,0,0,0
91910,4,2023,R,Y,4142,798207,193
91911,4,2023,A,Y,0,0,0
91911,4,2023,C,Y,445,4328388,9727
91911,4,2023,I,Y,0,0,0
91911,4,2023,R,Y,3358,718804,214
91912,4,2023,A,Y,0,0,0
91912,4,2023,C,Y,0,0,0
91912,4,2023,I,Y,0,0,0
91912,4,2023,R,Y,0,0,0
91913,4,2023,A,Y,0,0,0
91913,4,2023,C,Y,0,0,0
91913,4,2023,I,Y,0,0,0
91913,4,2023,R,N,3411,648638,190
91914,4,2023,A,Y,0,0,0
91914,4,2023,C,Y,0,0,0
91914,4,2023,I,Y,0,0,0
91914,4,2023,R,N,475,61343,129
91915,4,2023,A,Y,0,0,0
91915,4,2023,C,Y,0,0,0
91915,4,2023,I,Y,0,0,0
91915,4,2023,R,Y,2014,491058,244
91916,4,2023,A,Y,0,0,0
91916,4,2023,C,Y,0,0,0
91916,4,2023,I,Y,0,0,0
91916,4,2023,R,Y,0,0,0
91917,4,2023,A,Y,0,0,0
91917,4,2023,C,Y,0,0,0
91917,4,2023,I,Y,0,0,0
91917,4,2023,R,N,215,91404,425
91931,4,2023,A,Y,0,0,0
91931,4,2023,C,Y,0,0,0
91931,4,2023,I,Y,0,0,0
91931,4,2023,R,Y,0,0,0
91932,4,2023,A,Y,0,0,0
91932,4,2023,C,Y,0,0,0
91932,4,2023,I,Y,0,0,0
91932,4,2023,R,N,2348,448477,191
91934,4,2023,A,Y,0,0,0
91934,4,2023,C,Y,0,0,0
91934,4,2023,I,Y,0,0,0
91934,4,2023,R,Y,0,0,0
91935,4,2023,A,Y,0,0,0
91935,4,2023,C,Y,0,0,0
91935,4,2023,I,Y,0,0,0
91935,4,2023,R,N,2884,519781,180
91941,4,2023,A,Y,0,0,0
91941,4,2023,C,Y,0,0,0
91941,4,2023,I,Y,0,0,0
91941,4,2023,R,N,6220,1079003,173
91942,4,2023,A,Y,0,0,0
91942,4,2023,C,Y,0,0,0
91942,4,2023,I,Y,0,0,0
91942,4,2023,R,N,3894,873142,224
91945,4,2023,A,Y,0,0,0
91945,4,2023,C,N,586,2640055,4505
91945,4,2023,I,Y,0,0,0
91945,4,2023,R,N,9013,2001029,222
91948,4,2023,A,Y,0,0,0
91948,4,2023,C,Y,0,0,0
91948,4,2023,I,Y,0,0,0
91948,4,2023,R,Y,0,0,0
91950,4,2023,A,Y,0,0,0
91950,4,2023,C,Y,1991,9482019,4762
91950,4,2023,I,Y,0,0,0
91950,4,2023,R,Y,15613,2106675,135
91962,4,2023,A,Y,0,0,0
91962,4,2023,C,Y,0,0,0
91962,4,2023,I,Y,0,0,0
91962,4,2023,R,Y,0,0,0
91963,4,2023,A,Y,0,0,0
91963,4,2023,C,Y,0,0,0
91963,4,2023,I,Y,0,0,0
91963,4,2023,R,Y,0,0,0
91977,4,2023,A,Y,0,0,0
91977,4,2023,C,N,789,2670290,3384
91977,4,2023,I,Y,0,0,0
91977,4,2023,R,N,18387,3344296,182
91978,4,2023,A,Y,0,0,0
91978,4,2023,C,Y,0,0,0
91978,4,2023,I,Y,0,0,0
91978,4,2023,R,N,2902,725028,250
91980,4,2023,A,Y,0,0,0
91980,4,2023,C,Y,0,0,0
91980,4,2023,I,Y,0,0,0
91980,4,2023,R,Y,0,0,0
92003,4,2023,A,Y,0,0,0
92003,4,2023,C,N,287,588902,2052
92003,4,2023,I,Y,0,0,0
92003,4,2023,R,N,1885,429673,228
92004,4,2023,A,Y,0,0,0
92004,4,2023,C,Y,0,0,0
92004,4,2023,I,Y,0,0,0
92004,4,2023,R,Y,2109,110093,52
92007,4,2023,A,Y,0,0,0
92007,4,2023,C,Y,0,0,0
92007,4,2023,I,Y,0,0,0
92007,4,2023,R,N,816,196543,241
92008,4,2023,A,Y,0,0,0
92008,4,2023,C,Y,0,0,0
92008,4,2023,I,Y,0,0,0
92008,4,2023,R,N,3877,995668,257
92009,4,2023,A,Y,0,0,0
92009,4,2023,C,Y,0,0,0
92009,4,2023,I,Y,0,0,0
92009,4,2023,R,N,3457,751382,217
92010,4,2023,A,Y,0,0,0
92010,4,2023,C,N,177,631241,3566
92010,4,2023,I,Y,0,0,0
92010,4,2023,R,N,1939,651983,336
92011,4,2023,A,Y,0,0,0
92011,4,2023,C,N,202,1557208,7709
92011,4,2023,I,Y,0,0,0
92011,4,2023,R,N,2274,530796,233
92014,4,2023,A,Y,0,0,0
92014,4,2023,C,Y,0,0,0
92014,4,2023,I,Y,0,0,0
92014,4,2023,R,N,1801,489218,272
92019,4,2023,A,Y,0,0,0
92019,4,2023,C,Y,0,0,0
92019,4,2023,I,Y,0,0,0
92019,4,2023,R,N,14398,1383230,96
92020,4,2023,A,Y,0,0,0
92020,4,2023,C,N,2260,13535822,5989
92020,4,2023,I,Y,0,0,0
92020,4,2023,R,N,20618,4572544,222
92021,4,2023,A,Y,0,0,0
92021,4,2023,C,Y,0,0,0
92021,4,2023,I,Y,0,0,0
92021,4,2023,R,N,21360,2599251,122
92024,4,2023,A,Y,0,0,0
92024,4,2023,C,Y,0,0,0
92024,4,2023,I,Y,0,0,0
92024,4,2023,R,Y,3273,782144,239
92025,4,2023,A,Y,0,0,0
92025,4,2023,C,Y,2014,3810550,1892
92025,4,2023,I,Y,0,0,0
92025,4,2023,R,Y,15236,10967,1
92026,4,2023,A,Y,0,0,0
92026,4,2023,C,Y,583,1462683,2509
92026,4,2023,I,Y,0,0,0
92026,4,2023,R,Y,17638,223037,13
92027,4,2023,A,Y,0,0,0
92027,4,2023,C,Y,0,0,0
92027,4,2023,I,Y,0,0,0
92027,4,2023,R,Y,15755,-174620,-11
92028,4,2023,A,Y,0,0,0
92028,4,2023,C,Y,1539,4481659,2912
92028,4,2023,I,Y,0,0,0
92028,4,2023,R,Y,17153,2871042,167
92029,4,2023,A,Y,0,0,0
92029,4,2023,C,Y,0,0,0
92029,4,2023,I,Y,0,0,0
92029,4,2023,R,N,6988,799059,114
92036,4,2023,A,Y,0,0,0
92036,4,2023,C,Y,0,0,0
92036,4,2023,I,Y,0,0,0
92036,4,2023,R,Y,2290,516116,225
92037,4,2023,A,Y,0,0,0
92037,4,2023,C,Y,0,0,0
92037,4,2023,I,Y,0,0,0
