ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh
91901,1,2022,A,Y,0,0,0
91901,1,2022,C,Y,0,0,0
91901,1,2022,I,Y,0,0,0
91901,1,2022,R,Y,8199,4975130,607
91902,1,2022,A,Y,0,0,0
91902,1,2022,C,Y,0,0,0
91902,1,2022,I,Y,0,0,0
91902,1,2022,R,N,5950,2944272,495
91905,1,2022,A,Y,0,0,0
91905,1,2022,C,Y,0,0,0
91905,1,2022,I,Y,0,0,0
91905,1,2022,R,Y,280,176110,629
91906,1,2022,A,Y,0,0,0
91906,1,2022,C,Y,432,1127402,2610
91906,1,2022,I,Y,0,0,0
91906,1,2022,R,Y,1993,1377220,691
91910,1,2022,A,Y,0,0,0
91910,1,2022,C,Y,0,0,0
91910,1,2022,I,Y,0,0,0
91910,1,2022,R,Y,24880,8983279,361
91911,1,2022,A,Y,0,0,0
91911,1,2022,C,Y,268,4779439,17834
91911,1,2022,I,Y,0,0,0
91911,1,2022,R,Y,23211,8979085,387
91912,1,2022,A,Y,0,0,0
91912,1,2022,C,Y,0,0,0
91912,1,2022,I,Y,0,0,0
91912,1,2022,R,Y,0,0,0
91913,1,2022,A,Y,0,0,0
91913,1,2022,C,Y,0,0,0
91913,1,2022,I,Y,0,0,0
91913,1,2022,R,N,16829,6128989,364
91914,1,2022,A,Y,0,0,0
91914,1,2022,C,Y,0,0,0
91914,1,2022,I,Y,0,0,0
91914,1,2022,R,N,4759,1914780,402
91915,1,2022,A,Y,0,0,0
91915,1,2022,C,Y,0,0,0
91915,1,2022,I,Y,0,0,0
91915,1,2022,R,N,10523,3739804,355
91916,1,2022,A,Y,0,0,0
91916,1,2022,C,Y,0,0,0
91916,1,2022,I,Y,0,0,0
91916,1,2022,R,Y,0,0,0
91917,1,2022,A,Y,0,0,0
91917,1,2022,C,Y,0,0,0
91917,1,2022,I,Y,0,0,0
91917,1,2022,R,N,218,182929,839
91931,1,2022,A,Y,0,0,0
91931,1,2022,C,Y,0,0,0
91931,1,2022,I,Y,0,0,0
91931,1,2022,R,Y,0,0,0
91932,1,2022,A,Y,0,0,0
91932,1,2022,C,Y,0,0,0
91932,1,2022,I,Y,0,0,0
91932,1,2022,R,N,6417,2012318,314
91934,1,2022,A,Y,0,0,0
91934,1,2022,C,Y,0,0,0
91934,1,2022,I,Y,0,0,0
91934,1,2022,R,Y,0,0,0
91935,1,2022,A,Y,0,0,0
91935,1,2022,C,Y,0,0,0
91935,1,2022,I,Y,0,0,0
91935,1,2022,R,N,2876,1933610,672
91941,1,2022,A,Y,0,0,0
91941,1,2022,C,N,172,918021,5337
91941,1,2022,I,Y,0,0,0
91941,1,2022,R,N,9606,4228662,440
91942,1,2022,A,Y,0,0,0
91942,1,2022,C,N,262,3906061,14909
91942,1,2022,I,Y,0,0,0
91942,1,2022,R,N,12067,4140837,343
91945,1,2022,A,Y,0,0,0
91945,1,2022,C,N,589,2645806,4492
91945,1,2022,I,Y,0,0,0
91945,1,2022,R,N,9005,3450112,383
91948,1,2022,A,Y,0,0,0
91948,1,2022,C,Y,0,0,0
91948,1,2022,I,Y,0,0,0
91948,1,2022,R,Y,0,0,0
