ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh
91901,10,2024,A,Y,0,0,0
91901,10,2024,C,Y,0,0,0
91901,10,2024,I,Y,0,0,0
91901,10,2024,R,Y,2599,1349697,519
91902,10,2024,A,Y,0,0,0
91902,10,2024,C,Y,0,0,0
91902,10,2024,I,Y,0,0,0
91902,10,2024,R,N,1066,391832,368
91905,10,2024,A,Y,0,0,0
91905,10,2024,C,Y,0,0,0
91905,10,2024,I,Y,0,0,0
91905,10,2024,R,Y,0,0,0
91906,10,2024,A,Y,0,0,0
91906,10,2024,C,Y,89,383263,4306
91906,10,2024,I,Y,0,0,0
91906,10,2024,R,Y,577,305458,529
91910,10,2024,A,Y,0,0,0
91910,10,2024,C,Y,512,6501572,12698
91910,10,2024,I,Y,0,0,0
91910,10,2024,R,Y,7227,1911307,264
91911,10,2024,A,Y,0,0,0
91911,10,2024,C,Y,687,6903403,10049
91911,10,2024,I,Y,0,0,0
91911,10,2024,R,Y,6086,1700740,279
91912,10,2024,A,Y,0,0,0
91912,10,2024,C,Y,0,0,0
91912,10,2024,I,Y,0,0,0
91912,10,2024,R,Y,0,0,0
91913,10,2024,A,Y,0,0,0
91913,10,2024,C,Y,0,0,0
91913,10,2024,I,Y,0,0,0
91913,10,2024,R,N,6154,2192185,356
91914,10,2024,A,Y,0,0,0
91914,10,2024,C,Y,0,0,0
91914,10,2024,I,Y,0,0,0
91914,10,2024,R,N,861,301850,351
91915,10,2024,A,Y,0,0,0
91915,10,2024,C,Y,0,0,0
91915,10,2024,I,Y,0,0,0
91915,10,2024,R,N,3813,1331343,349
91916,10,2024,A,Y,0,0,0
91916,10,2024,C,Y,0,0,0
91916,10,2024,I,Y,0,0,0
91916,10,2024,R,Y,0,0,0
91917,10,2024,A,Y,0,0,0
91917,10,2024,C,Y,0,0,0
91917,10,2024,I,Y,0,0,0
91917,10,2024,R,Y,0,0,0
91931,10,2024,A,Y,0,0,0
91931,10,2024,C,Y,0,0,0
91931,10,2024,I,Y,0,0,0
91931,10,2024,R,Y,0,0,0
91932,10,2024,A,Y,0,0,0
91932,10,2024,C,N,123,503997,4098
91932,10,2024,I,Y,0,0,0
91932,10,2024,R,N,3749,904174,241
91934,10,2024,A,Y,0,0,0
91934,10,2024,C,Y,0,0,0
91934,10,2024,I,Y,0,0,0
91934,10,2024,R,Y,0,0,0
91935,10,2024,A,Y,0,0,0
91935,10,2024,C,Y,0,0,0
91935,10,2024,I,Y,0,0,0
91935,10,2024,R,N,532,260307,489
91941,10,2024,A,Y,0,0,0
91941,10,2024,C,Y,0,0,0
91941,10,2024,I,Y,0,0,0
91941,10,2024,R,N,3293,1071943,326
91942,10,2024,A,Y,0,0,0
91942,10,2024,C,Y,0,0,0
91942,10,2024,I,Y,0,0,0
91942,10,2024,R,N,6453,1961346,304
91945,10,2024,A,Y,0,0,0
91945,10,2024,C,N,584,2870771,4916
91945,10,2024,I,Y,0,0,0
91945,10,2024,R,N,9154,2946681,322
91948,10,2024,A,Y,0,0,0
91948,10,2024,C,Y,0,0,0
91948,10,2024,I,Y,0,0,0
91948,10,2024,R,Y,0,0,0
91950,10,2024,A,Y,0,0,0
91950,10,2024,C,Y,554,6640370,11986
91950,10,2024,I,Y,0,0,0
91950,10,2024,R,Y,3456,1148438,332
91962,10,2024,A,Y,0,0,0
91962,10,2024,C,Y,0,0,0
91962,10,2024,I,Y,0,0,0
91962,10,2024,R,Y,0,0,0
91963,10,2024,A,Y,0,0,0
91963,10,2024,C,Y,0,0,0
91963,10,2024,I,Y,0,0,0
91963,10,2024,R,Y,0,0,0
91977,10,2024,A,Y,0,0,0
91977,10,2024,C,Y,0,0,0
91977,10,2024,I,Y,0,0,0
91977,10,2024,R,N,3836,1236573,322
91978,10,2024,A,Y,0,0,0
91978,10,2024,C,Y,0,0,0
91978,10,2024,I,Y,0,0,0
91978,10,2024,R,N,660,340377,516
91980,10,2024,A,Y,0,0,0
91980,10,2024,C,Y,0,0,0
91980,10,2024,I,Y,0,0,0
91980,10,2024,R,Y,0,0,0
92003,10,2024,A,Y,0,0,0
92003,10,2024,C,Y,0,0,0
92003,10,2024,I,Y,0,0,0
92003,10,2024,R,N,406,158983,392
92004,10,2024,A,Y,0,0,0
92004,10,2024,C,Y,0,0,0
92004,10,2024,I,Y,0,0,0
92004,10,2024,R,Y,382,155131,406
92007,10,2024,A,Y,0,0,0
92007,10,2024,C,Y,0,0,0
92007,10,2024,I,Y,0,0,0
92007,10,2024,R,N,1297,378639,292
92008,10,2024,A,Y,0,0,0
92008,10,2024,C,N,740,10409197,14066
92008,10,2024,I,Y,0,0,0
92008,10,2024,R,N,5245,1592906,304
92009,10,2024,A,Y,0,0,0
92009,10,2024,C,N,211,1461921,6929
92009,10,2024,I,Y,0,0,0
92009,10,2024,R,N,4696,1462281,311
92010,10,2024,A,Y,0,0,0
92010,10,2024,C,Y,0,0,0
92010,10,2024,I,Y,0,0,0
92010,10,2024,R,N,2565,938549,366
92011,10,2024,A,Y,0,0,0
92011,10,2024,C,N,263,1913181,7274
92011,10,2024,I,Y,0,0,0
92011,10,2024,R,N,3182,994676,313
92014,10,2024,A,Y,0,0,0
92014,10,2024,C,Y,0,0,0
92014,10,2024,I,Y,0,0,0
92014,10,2024,R,N,2004,744958,372
92019,10,2024,A,Y,0,0,0
92019,10,2024,C,Y,0,0,0
92019,10,2024,I,Y,0,0,0
92019,10,2024,R,N,7560,3433978,454
92020,10,2024,A,Y,0,0,0
92020,10,2024,C,N,2043,15229008,7454
92020,10,2024,I,Y,0,0,0
92020,10,2024,R,N,19317,7965311,412
92021,10,2024,A,Y,0,0,0
92021,10,2024,C,N,872,6650963,7627
92021,10,2024,I,Y,0,0,0
92021,10,2024,R,N,13017,6279144,482
92024,10,2024,A,Y,0,0,0
92024,10,2024,C,Y,0,0,0
92024,10,2024,I,Y,0,0,0
92024,10,2024,R,Y,5298,1563628,295
92025,10,2024,A,Y,0,0,0
92025,10,2024,C,Y,438,4728663,10796
92025,10,2024,I,Y,0,0,0
92025,10,2024,R,Y,3382,1075822,318
92026,10,2024,A,Y,0,0,0
92026,10,2024,C,N,97,1110025,11444
92026,10,2024,I,Y,0,0,0
92026,10,2024,R,N,3532,1203694,341
92027,10,2024,A,Y,0,0,0
92027,10,2024,C,Y,0,0,0
92027,10,2024,I,Y,0,0,0
92027,10,2024,R,Y,3487,1107463,318
92028,10,2024,A,Y,0,0,0
92028,10,2024,C,Y,0,0,0
92028,10,2024,I,Y,0,0,0
92028,10,2024,R,N,4132,1320540,320
92029,10,2024,A,Y,0,0,0
92029,10,2024,C,Y,0,0,0
92029,10,2024,I,Y,0,0,0
92029,10,2024,R,N,1370,1034162,755
92036,10,2024,A,Y,0,0,0
92036,10,2024,C,Y,0,0,0
92036,10,2024,I,Y,0,0,0
92036,10,2024,R,Y,430,171906,400
92037,10,2024,A,Y,0,0,0
92037,10,2024,C,Y,0,0,0
92037,10,2024,I,Y,0,0,0
92037,10,2024,R,Y,6283,2221434,354
92040,10,2024,A,Y,0,0,0
92040,10,2024,C,Y,0,0,0
92040,10,2024,I,Y,0,0,0
92040,10,2024,R,N,3404,4292178,1261
92045,10,2024,C,Y,0,0,0
92045,10,2024,I,Y,0,0,0
92045,10,2024,R,Y,0,0,0
92049,10,2024,A,Y,0,0,0
92049,10,2024,C,Y,0,0,0
92049,10,2024,I,Y,0,0,0
92049,10,2024,R,Y,0,0,0
92054,10,2024,A,Y,0,0,0
92054,10,2024,C,Y,196,2586033,13194
92054,10,2024,I,Y,0,0,0
92054,10,2024,R,Y,3101,758963,245
92055,10,2024,A,Y,0,0,0
92055,10,2024,C,Y,0,0,0
92055,10,2024,I,Y,0,0,0
92055,10,2024,R,Y,0,0,0
92056,10,2024,A,Y,0,0,0
92056,10,2024,C,Y,0,0,0
92056,10,2024,I,Y,0,0,0
92056,10,2024,R,N,4876,853511,175
92057,10,2024,A,Y,0,0,0
92057,10,2024,C,Y,0,0,0
92057,10,2024,I,Y,0,0,0
92057,10,2024,R,N,4420,777406,176
92058,10,2024,A,Y,0,0,0
92058,10,2024,C,Y,0,0,0
92058,10,2024,I,Y,0,0,0
92058,10,2024,R,Y,1198,1060020,885
92059,10,2024,A,Y,0,0,0
92059,10,2024,C,Y,0,0,0
92059,10,2024,I,Y,0,0,0
92059,10,2024,R,N,418,265042,634
92060,10,2024,A,Y,0,0,0
92060,10,2024,C,Y,0,0,0
92060,10,2024,I,Y,0,0,0
92060,10,2024,R,Y,0,0,0
92061,10,2024,A,Y,0,0,0
92061,10,2024,C,Y,0,0,0
92061,10,2024,I,Y,0,0,0
92061,10,2024,R,N,385,209320,544
92064,10,2024,A,Y,0,0,0
92064,10,2024,C,Y,0,0,0
92064,10,2024,I,Y,0,0,0
92064,10,2024,R,Y,15835,5820642,368
92065,10,2024,A,Y,0,0,0
92065,10,2024,C,Y,0,0,0
92065,10,2024,I,Y,0,0,0
92065,10,2024,R,Y,2991,1384007,463
92066,10,2024,A,Y,0,0,0
92066,10,2024,C,Y,0,0,0
92066,10,2024,I,Y,0,0,0
92066,10,2024,R,Y,0,0,0
92067,10,2024,A,Y,0,0,0
92067,10,2024,C,N,86,682238,7933
92067,10,2024,I,Y,0,0,0
92067,10,2024,R,N,597,712450,1193
92068,10,2024,A,Y,0,0,0
92068,10,2024,C,Y,0,0,0
92068,10,2024,I,Y,0,0,0
92068,10,2024,R,Y,0,0,0
92069,10,2024,A,Y,0,0,0
92069,10,2024,C,Y,0,0,0
92069,10,2024,I,Y,0,0,0
92069,10,2024,R,Y,3513,839481,239
92070,10,2024,A,Y,0,0,0
92070,10,2024,C,Y,0,0,0
92070,10,2024,I,Y,0,0,0
92070,10,2024,R,Y,0,0,0
92071,10,2024,A,Y,0,0,0
92071,10,2024,C,Y,1361,9278278,6817
92071,10,2024,I,Y,0,0,0
92071,10,2024,R,Y,20025,10231291,511
92072,10,2024,A,Y,0,0,0
92072,10,2024,C,Y,0,0,0
92072,10,2024,I,Y,0,0,0
92072,10,2024,R,Y,0,0,0
92075,10,2024,A,Y,0,0,0
92075,10,2024,C,N,695,2685663,3864
92075,10,2024,I,Y,0,0,0
92075,10,2024,R,N,5609,2068356,369
92078,10,2024,A,Y,0,0,0
92078,10,2024,C,Y,0,0,0
92078,10,2024,I,Y,0,0,0
92078,10,2024,R,N,3838,1470814,383
92079,10,2024,A,Y,0,0,0
92079,10,2024,C,Y,0,0,0
92079,10,2024,I,Y,0,0,0
92079,10,2024,R,Y,0,0,0
92081,10,2024,A,Y,0,0,0
92081,10,2024,C,Y,0,0,0
92081,10,2024,I,Y,0,0,0
92081,10,2024,R,Y,2646,857895,324
92082,10,2024,A,Y,0,0,0
92082,10,2024,C,Y,0,0,0
92082,10,2024,I,Y,0,0,0
92082,10,2024,R,Y,1862,898665,483
92083,10,2024,A,Y,0,0,0
92083,10,2024,C,N,128,1178864,9210
92083,10,2024,I,Y,0,0,0
92083,10,2024,R,N,2462,564558,229
92084,10,2024,A,Y,0,0,0
92084,10,2024,C,Y,152,1408926,9269
92084,10,2024,I,Y,0,0,0
92084,10,2024,R,Y,3024,775274,256
92085,10,2024,A,Y,0,0,0
92085,10,2024,C,Y,0,0,0
92085,10,2024,I,Y,0,0,0
92085,10,2024,R,Y,0,0,0
92086,10,2024,A,Y,0,0,0
92086,10,2024,C,Y,0,0,0
92086,10,2024,I,Y,0,0,0
92086,10,2024,R,Y,125,47009,376
92091,10,2024,A,Y,0,0,0
92091,10,2024,C,Y,0,0,0
92091,10,2024,I,Y,0,0,0
92091,10,2024,R,N,187,114557,613
92092,10,2024,A,Y,0,0,0
92092,10,2024,C,Y,0,0,0
92092,10,2024,I,Y,0,0,0
92092,10,2024,R,Y,0,0,0
92093,10,2024,A,Y,0,0,0
92093,10,2024,C,Y,0,0,0
92093,10,2024,I,Y,0,0,0
92093,10,2024,R,Y,0,0,0
92096,10,2024,A,Y,0,0,0
92096,10,2024,C,Y,0,0,0
92096,10,2024,I,Y,0,0,0
92096,10,2024,R,Y,0,0,0
92101,10,2024,A,Y,0,0,0
92101,10,2024,C,Y,0,0,0
92101,10,2024,I,Y,0,0,0
92101,10,2024,R,Y,16403,5952414,363
92102,10,2024,A,Y,0,0,0
92102,10,2024,C,N,212,1594599,7522
92102,10,2024,I,Y,0,0,0
92102,10,2024,R,N,4881,1221544,250
92103,10,2024,A,Y,0,0,0
92103,10,2024,C,Y,0,0,0
92103,10,2024,I,Y,0,0,0
92103,10,2024,R,Y,8100,1911464,236
92104,10,2024,A,Y,0,0,0
92104,10,2024,C,Y,0,0,0
92104,10,2024,I,Y,0,0,0
92104,10,2024,R,N,9113,1871765,205
92105,10,2024,A,Y,0,0,0
92105,10,2024,C,Y,0,0,0
92105,10,2024,I,Y,0,0,0
92105,10,2024,R,N,6189,1480981,239
92106,10,2024,A,Y,0,0,0
92106,10,2024,C,Y,0,0,0
92106,10,2024,I,Y,0,0,0
92106,10,2024,R,Y,2167,621532,287
92107,10,2024,A,Y,0,0,0
92107,10,2024,C,Y,0,0,0
92107,10,2024,I,Y,0,0,0
92107,10,2024,R,N,4701,1010342,215
92108,10,2024,A,Y,0,0,0
92108,10,2024,C,N,475,11823988,24893
92108,10,2024,I,Y,0,0,0
92108,10,2024,R,N,8686,2759786,318
92109,10,2024,A,Y,0,0,0
92109,10,2024,C,Y,0,0,0
92109,10,2024,I,Y,0,0,0
92109,10,2024,R,N,9860,2232676,226
92110,10,2024,A,Y,0,0,0
92110,10,2024,C,Y,0,0,0
92110,10,2024,I,Y,0,0,0
92110,10,2024,R,N,4650,1299960,280
92111,10,2024,A,Y,0,0,0
92111,10,2024,C,Y,687,5579138,8121
92111,10,2024,I,Y,0,0,0
92111,10,2024,R,Y,4529,1165590,257
92112,10,2024,A,Y,0,0,0
92112,10,2024,C,Y,0,0,0
92112,10,2024,I,Y,0,0,0
92112,10,2024,R,Y,0,0,0
92113,10,2024,A,Y,0,0,0
92113,10,2024,C,Y,0,0,0
92113,10,2024,I,Y,0,0,0
92113,10,2024,R,N,3549,829275,234
92114,10,2024,A,Y,0,0,0
92114,10,2024,C,Y,0,0,0
92114,10,2024,I,Y,0,0,0
92114,10,2024,R,N,3436,1068610,311
92115,10,2024,A,Y,0,0,0
92115,10,2024,C,Y,615,5454788,8870
92115,10,2024,I,Y,0,0,0
92115,10,2024,R,Y,8009,1458478,182
92116,10,2024,A,Y,0,0,0
92116,10,2024,C,Y,0,0,0
92116,10,2024,I,Y,0,0,0
