ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh
91901,7,2023,A,Y,0,0,0
91901,7,2023,C,Y,0,0,0
91901,7,2023,I,Y,0,0,0
91901,7,2023,R,Y,3275,2018065,616
91902,7,2023,A,Y,0,0,0
91902,7,2023,C,Y,0,0,0
91902,7,2023,I,Y,0,0,0
91902,7,2023,R,N,1356,257360,190
91905,7,2023,A,Y,0,0,0
91905,7,2023,C,Y,0,0,0
91905,7,2023,I,Y,0,0,0
91905,7,2023,R,Y,0,0,0
91906,7,2023,A,Y,0,0,0
91906,7,2023,C,Y,91,516735,5678
91906,7,2023,I,Y,0,0,0
91906,7,2023,R,Y,650,276776,426
91910,7,2023,A,Y,0,0,0
91910,7,2023,C,Y,394,5576038,14152
91910,7,2023,I,Y,0,0,0
91910,7,2023,R,Y,4555,1285005,282
91911,7,2023,A,Y,0,0,0
91911,7,2023,C,Y,488,5409173,11084
91911,7,2023,I,Y,0,0,0
91911,7,2023,R,Y,3876,1152961,297
91912,7,2023,A,Y,0,0,0
91912,7,2023,C,Y,0,0,0
91912,7,2023,I,Y,0,0,0
91912,7,2023,R,Y,0,0,0
91913,7,2023,A,Y,0,0,0
91913,7,2023,C,Y,0,0,0
91913,7,2023,I,Y,0,0,0
91913,7,2023,R,N,3975,1551100,390
91914,7,2023,A,Y,0,0,0
91914,7,2023,C,Y,0,0,0
91914,7,2023,I,Y,0,0,0
91914,7,2023,R,N,555,220255,397
91915,7,2023,A,Y,0,0,0
91915,7,2023,C,Y,0,0,0
91915,7,2023,I,Y,0,0,0
91915,7,2023,R,Y,2350,1051025,447
91916,7,2023,A,Y,0,0,0
91916,7,2023,C,Y,0,0,0
91916,7,2023,I,Y,0,0,0
91916,7,2023,R,Y,0,0,0
91917,7,2023,A,Y,0,0,0
91917,7,2023,C,Y,0,0,0
91917,7,2023,I,Y,0,0,0
91917,7,2023,R,Y,0,0,0
91931,7,2023,A,Y,0,0,0
91931,7,2023,C,Y,0,0,0
91931,7,2023,I,Y,0,0,0
91931,7,2023,R,Y,0,0,0
91932,7,2023,A,Y,0,0,0
91932,7,2023,C,Y,0,0,0
91932,7,2023,I,Y,0,0,0
91932,7,2023,R,N,2582,652911,253
91934,7,2023,A,Y,0,0,0
91934,7,2023,C,Y,0,0,0
91934,7,2023,I,Y,0,0,0
91934,7,2023,R,Y,0,0,0
91935,7,2023,A,Y,0,0,0
91935,7,2023,C,Y,0,0,0
91935,7,2023,I,Y,0,0,0
91935,7,2023,R,N,1233,476567,387
91941,7,2023,A,Y,0,0,0
91941,7,2023,C,Y,0,0,0
91941,7,2023,I,Y,0,0,0
91941,7,2023,R,N,3416,1076461,315
91942,7,2023,A,Y,0,0,0
91942,7,2023,C,N,410,5703166,13910
91942,7,2023,I,Y,0,0,0
91942,7,2023,R,N,4444,1786719,402
91945,7,2023,A,Y,0,0,0
91945,7,2023,C,N,587,3361026,5726
91945,7,2023,I,Y,0,0,0
91945,7,2023,R,N,8965,3525313,393
91948,7,2023,A,Y,0,0,0
91948,7,2023,C,Y,0,0,0
91948,7,2023,I,Y,0,0,0
91948,7,2023,R,Y,0,0,0
91950,7,2023,A,Y,0,0,0
91950,7,2023,C,Y,323,6286071,19462
91950,7,2023,I,Y,0,0,0
91950,7,2023,R,Y,2167,549500,254
91962,7,2023,A,Y,0,0,0
91962,7,2023,C,Y,0,0,0
91962,7,2023,I,Y,0,0,0
91962,7,2023,R,Y,0,0,0
91963,7,2023,A,Y,0,0,0
91963,7,2023,C,Y,0,0,0
91963,7,2023,I,Y,0,0,0
91963,7,2023,R,Y,0,0,0
91977,7,2023,A,Y,0,0,0
