ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh
91901,4,2025,A,Y,0,0,0
91901,4,2025,C,Y,0,0,0
91901,4,2025,I,Y,0,0,0
91901,4,2025,R,Y,2787,964006,346
91902,4,2025,A,Y,0,0,0
91902,4,2025,C,Y,0,0,0
91902,4,2025,I,Y,0,0,0
91902,4,2025,R,N,1217,316090,260
91905,4,2025,A,Y,0,0,0
91905,4,2025,C,Y,0,0,0
91905,4,2025,I,Y,0,0,0
91905,4,2025,R,Y,0,0,0
91906,4,2025,A,Y,0,0,0
91906,4,2025,C,Y,0,0,0
91906,4,2025,I,Y,0,0,0
91906,4,2025,R,Y,624,278106,446
91910,4,2025,A,Y,0,0,0
91910,4,2025,C,Y,0,0,0
91910,4,2025,I,Y,0,0,0
91910,4,2025,R,Y,8107,1668190,206
91911,4,2025,A,Y,0,0,0
91911,4,2025,C,Y,691,5477324,7927
91911,4,2025,I,Y,0,0,0
91911,4,2025,R,Y,7040,1555547,221
91912,4,2025,A,Y,0,0,0
91912,4,2025,C,Y,0,0,0
91912,4,2025,I,Y,0,0,0
91912,4,2025,R,Y,0,0,0
91913,4,2025,A,Y,0,0,0
91913,4,2025,C,Y,0,0,0
91913,4,2025,I,Y,0,0,0
91913,4,2025,R,N,6607,1461713,221
91914,4,2025,A,Y,0,0,0
91914,4,2025,C,Y,0,0,0
91914,4,2025,I,Y,0,0,0
91914,4,2025,R,N,937,133714,143
91915,4,2025,A,Y,0,0,0
91915,4,2025,C,Y,0,0,0
91915,4,2025,I,Y,0,0,0
91915,4,2025,R,N,4154,1018822,245
91916,4,2025,A,Y,0,0,0
91916,4,2025,C,Y,0,0,0
91916,4,2025,I,Y,0,0,0
91916,4,2025,R,Y,0,0,0
91917,4,2025,A,Y,0,0,0
91917,4,2025,C,Y,0,0,0
91917,4,2025,I,Y,0,0,0
91917,4,2025,R,Y,0,0,0
91931,4,2025,A,Y,0,0,0
91931,4,2025,C,Y,0,0,0
91931,4,2025,I,Y,0,0,0
91931,4,2025,R,Y,0,0,0
91932,4,2025,A,Y,0,0,0
