ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh
92020,1,2025,C,N,2035,14206008,6981
92020,1,2025,I,Y,0,0,0
92020,1,2025,R,N,19598,8836851,451
92021,1,2025,A,Y,0,0,0
92021,1,2025,C,N,875,5863617,6701
92021,1,2025,I,Y,0,0,0
92021,1,2025,R,N,13259,5486793,414
92024,1,2025,A,Y,0,0,0
92024,1,2025,C,Y,0,0,0
92024,1,2025,I,Y,0,0,0
92024,1,2025,R,Y,5546,2196558,396
92025,1,2025,A,Y,0,0,0
92025,1,2025,C,Y,470,3738290,7954
92025,1,2025,I,Y,0,0,0
92025,1,2025,R,Y,3777,1224381,324
92026,1,2025,A,Y,0,0,0
92026,1,2025,C,Y,107,1051216,9824
92026,1,2025,I,Y,0,0,0
92026,1,2025,R,Y,3875,1552336,401
92027,1,2025,A,Y,0,0,0
92027,1,2025,C,Y,0,0,0
92027,1,2025,I,Y,0,0,0
92027,1,2025,R,Y,3726,1202739,323
92028,1,2025,A,Y,0,0,0
92028,1,2025,C,Y,0,0,0
92028,1,2025,I,Y,0,0,0
92028,1,2025,R,N,4433,1751762,395
92029,1,2025,A,Y,0,0,0
92029,1,2025,C,Y,0,0,0
92029,1,2025,I,Y,0,0,0
92029,1,2025,R,N,1458,901226,618
92036,1,2025,A,Y,0,0,0
92036,1,2025,C,Y,0,0,0
92036,1,2025,I,Y,0,0,0
92036,1,2025,R,Y,465,263029,566
92037,1,2025,A,Y,0,0,0
92037,1,2025,C,Y,0,0,0
92037,1,2025,I,Y,0,0,0
92037,1,2025,R,Y,6557,2777471,424
92040,1,2025,A,Y,0,0,0
92040,1,2025,C,Y,0,0,0
92040,1,2025,I,Y,0,0,0
92040,1,2025,R,N,3630,2646687,729
92045,1,2025,C,Y,0,0,0
92045,1,2025,I,Y,0,0,0
92045,1,2025,R,Y,0,0,0
92049,1,2025,A,Y,0,0,0
92049,1,2025,C,Y,0,0,0
92049,1,2025,I,Y,0,0,0
92049,1,2025,R,Y,0,0,0
92054,1,2025,A,Y,0,0,0
92054,1,2025,C,Y,0,0,0
92054,1,2025,I,Y,0,0,0
92054,1,2025,R,Y,3520,1062570,302
92055,1,2025,A,Y,0,0,0
92055,1,2025,C,Y,0,0,0
92055,1,2025,I,Y,0,0,0
92055,1,2025,R,Y,0,0,0
92056,1,2025,A,Y,0,0,0
92056,1,2025,C,Y,0,0,0
92056,1,2025,I,Y,0,0,0
92056,1,2025,R,N,4788,1316110,275
92057,1,2025,A,Y,0,0,0
92057,1,2025,C,Y,0,0,0
92057,1,2025,I,Y,0,0,0
92057,1,2025,R,N,4766,1249050,262
92058,1,2025,A,Y,0,0,0
92058,1,2025,C,Y,0,0,0
92058,1,2025,I,Y,0,0,0
92058,1,2025,R,Y,1410,1113068,789
92059,1,2025,A,Y,0,0,0
92059,1,2025,C,Y,0,0,0
92059,1,2025,I,Y,0,0,0
92059,1,2025,R,N,419,289038,690
92060,1,2025,A,Y,0,0,0
92060,1,2025,C,Y,0,0,0
92060,1,2025,I,Y,0,0,0
92060,1,2025,R,Y,0,0,0
92061,1,2025,A,Y,0,0,0
92061,1,2025,C,Y,0,0,0
92061,1,2025,I,Y,0,0,0
92061,1,2025,R,N,401,290694,725
92064,1,2025,A,Y,0,0,0
92064,1,2025,C,Y,0,0,0
92064,1,2025,I,Y,0,0,0
92064,1,2025,R,Y,15875,6789569,428
92065,1,2025,A,Y,0,0,0
92065,1,2025,C,Y,0,0,0
92065,1,2025,I,Y,0,0,0
92065,1,2025,R,Y,3146,1702705,541
92066,1,2025,A,Y,0,0,0
92066,1,2025,C,Y,0,0,0
92066,1,2025,I,Y,0,0,0
92066,1,2025,R,Y,0,0,0
92067,1,2025,A,Y,0,0,0
92067,1,2025,C,N,90,653106,7257
92067,1,2025,I,Y,0,0,0
92067,1,2025,R,N,646,1022218,1582
92068,1,2025,A,Y,0,0,0
92068,1,2025,C,Y,0,0,0
92068,1,2025,I,Y,0,0,0
92068,1,2025,R,Y,0,0,0
92069,1,2025,A,Y,0,0,0
92069,1,2025,C,Y,0,0,0
92069,1,2025,I,Y,0,0,0
92069,1,2025,R,Y,3786,1046056,276
92070,1,2025,A,Y,0,0,0
92070,1,2025,C,Y,0,0,0
92070,1,2025,I,Y,0,0,0
92070,1,2025,R,Y,0,0,0
92071,1,2025,A,Y,0,0,0
92071,1,2025,C,Y,1361,8293086,6093
92071,1,2025,I,Y,0,0,0
92071,1,2025,R,Y,20090,9076529,452
92072,1,2025,A,Y,0,0,0
92072,1,2025,C,Y,0,0,0
92072,1,2025,I,Y,0,0,0
92072,1,2025,R,Y,0,0,0
92075,1,2025,A,Y,0,0,0
92075,1,2025,C,N,694,2767962,3988
92075,1,2025,I,Y,0,0,0
92075,1,2025,R,N,5636,2762769,490
92078,1,2025,A,Y,0,0,0
92078,1,2025,C,Y,0,0,0
92078,1,2025,I,Y,0,0,0
92078,1,2025,R,N,4131,1541468,373
92079,1,2025,A,Y,0,0,0
92079,1,2025,C,Y,0,0,0
92079,1,2025,I,Y,0,0,0
92079,1,2025,R,Y,0,0,0
92081,1,2025,A,Y,0,0,0
92081,1,2025,C,Y,0,0,0
92081,1,2025,I,Y,0,0,0
92081,1,2025,R,Y,2733,1120893,410
92082,1,2025,A,Y,0,0,0
92082,1,2025,C,Y,0,0,0
92082,1,2025,I,Y,0,0,0
92082,1,2025,R,Y,1939,1133318,584
92083,1,2025,A,Y,0,0,0
92083,1,2025,C,N,143,1010314,7065
92083,1,2025,I,Y,0,0,0
92083,1,2025,R,N,2424,778388,321
92084,1,2025,A,Y,0,0,0
92084,1,2025,C,Y,185,1167169,6309
92084,1,2025,I,Y,0,0,0
92084,1,2025,R,Y,3334,1247885,374
92085,1,2025,A,Y,0,0,0
92085,1,2025,C,Y,0,0,0
92085,1,2025,I,Y,0,0,0
92085,1,2025,R,Y,0,0,0
92086,1,2025,A,Y,0,0,0
92086,1,2025,C,Y,0,0,0
92086,1,2025,I,Y,0,0,0
92086,1,2025,R,Y,127,84803,668
92091,1,2025,A,Y,0,0,0
92091,1,2025,C,Y,0,0,0
92091,1,2025,I,Y,0,0,0
92091,1,2025,R,N,204,151674,743
92092,1,2025,A,Y,0,0,0
92092,1,2025,C,Y,0,0,0
92092,1,2025,I,Y,0,0,0
92092,1,2025,R,Y,0,0,0
92093,1,2025,A,Y,0,0,0
92093,1,2025,C,Y,0,0,0
92093,1,2025,I,Y,0,0,0
92093,1,2025,R,Y,0,0,0
92096,1,2025,A,Y,0,0,0
92096,1,2025,C,Y,0,0,0
92096,1,2025,I,Y,0,0,0
92096,1,2025,R,Y,0,0,0
92101,1,2025,A,Y,0,0,0
92101,1,2025,C,Y,0,0,0
92101,1,2025,I,Y,0,0,0
92101,1,2025,R,Y,17185,5638051,328
92102,1,2025,A,Y,0,0,0
92102,1,2025,C,N,211,1477375,7002
92102,1,2025,I,Y,0,0,0
92102,1,2025,R,N,5235,1500890,287
92103,1,2025,A,Y,0,0,0
